
Human, 6, Daily Companion Morning, 2016-02-09_10-19-32 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455031176.08, 2016-02-09_10-19-36, 1, morningIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455031200.49, 2016-02-09_10-20-00, 2, morningGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455031204.62, 2016-02-09_10-20-04, 4, askWeather, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455031224.51, 2016-02-09_10-20-24, 5, askWeatherGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455031228.46, 2016-02-09_10-20-28, 6, askWeatherGoodJapan, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455031819.28, 2016-02-09_10-30-19, 7, askWeatherGoodYesTravel, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455031830.97, 2016-02-09_10-30-30, 15, checkEdgeSafety1, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455031841.19, 2016-02-09_10-30-41, 16, askBreakfast, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032044.53, 2016-02-09_10-34-04, 18, askDietGluten, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032065.09, 2016-02-09_10-34-25, 19, askDietGlutenYesEat, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032067.94, 2016-02-09_10-34-27, 21, meal1DecideBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032077.49, 2016-02-09_10-34-37, 22, askDietPoultry, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032100.79, 2016-02-09_10-35-00, 24, askDietPoultryNoEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032104.22, 2016-02-09_10-35-04, 25, meal2DecideLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032119.53, 2016-02-09_10-35-19, 26, mealFeedbackLunch, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032299.72, 2016-02-09_10-38-19, 27, meal2FeedbackYesDelici, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032303.87, 2016-02-09_10-38-23, 30, askDietFish, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032431.14, 2016-02-09_10-40-31, 31, askDietFishYesEat, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032439.52, 2016-02-09_10-40-39, 33, checkEdgeSafety2, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032450.08, 2016-02-09_10-40-50, 34, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032464.89, 2016-02-09_10-41-04, 35, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032487.09, 2016-02-09_10-41-27, 37, meal3FeedbackNoGood, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032490.7, 2016-02-09_10-41-30, 34, meal3DecideDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032504.78, 2016-02-09_10-41-44, 35, meal3FeedbackDinner, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032615.77, 2016-02-09_10-43-35, 37, meal3FeedbackNoGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032619.44, 2016-02-09_10-43-39, 38, meal3FeedbackNoOptions, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032627.71, 2016-02-09_10-43-47, 39, exerciseDecide, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032629.98, 2016-02-09_10-43-49, 40, exerciseWeatherGood, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032638.7, 2016-02-09_10-43-58, 42, exerciseFeedback, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032660.38, 2016-02-09_10-44-20, 45, exerciseFeedbackEasy, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455032669.01, 2016-02-09_10-44-29, 46, morningEnd, 1, 1, [2.0 3.0 3.0 0.0 0.0 0.0 0.0]
Human, 6, Daily Companion End of Day, 2016-02-09_10-59-27 

State Time Stamp, State Date Time, FSM State, FSM State Name, Robot Emotion, Observable Expression, Drive Statuses 

1455033572.2, 2016-02-09_10-59-32, 1, dayEndIntro, 0, 0, [0.0 0.0 0.0 0.0 0.0 0.0 0.0]
1455033709.76, 2016-02-09_11-01-49, 2, dayEndGood, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455033712.8, 2016-02-09_11-01-52, 4, askWeekend, 0, 5, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455033742.58, 2016-02-09_11-02-22, 4, askWeekend, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455033817.31, 2016-02-09_11-03-37, 6, askWeekendNo, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455033820.52, 2016-02-09_11-03-40, 7, meal1IfSuggested, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455033820.52, 2016-02-09_11-03-40, 8, meal1CheckinBreakfast, 1, 6, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455033847.54, 2016-02-09_11-04-07, 12, meal1CheckinNoAte, 1, 1, [1.0 1.0 1.0 0.0 0.0 0.0 0.0]
1455033888.69, 2016-02-09_11-04-48, 14, meal1CheckinNoAteNoHad, 4, 9, [1.0 1.0 1.0 3.0 0.0 0.0 0.0]
1455033905.07, 2016-02-09_11-05-05, 15, checkEdgeSafety1, 4, 9, [1.0 1.0 1.0 3.0 0.0 0.0 0.0]
1455033917.44, 2016-02-09_11-05-17, 16, meal2CheckinLunch, 4, 9, [1.0 1.0 1.0 3.0 0.0 0.0 0.0]
1455033961.28, 2016-02-09_11-06-01, 17, meal2CheckinYesAte, 1, 1, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455033984.61, 2016-02-09_11-06-24, 18, meal2CheckinYesAteGood, 1, 1, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455033987.38, 2016-02-09_11-06-27, 25, meal3CheckinDinner, 1, 1, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034065.87, 2016-02-09_11-07-45, 49, reactionScaredTouch, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034068.86, 2016-02-09_11-07-48, 49, reactionScaredTouch, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034071.85, 2016-02-09_11-07-51, 49, reactionScaredTouch, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034077.53, 2016-02-09_11-07-57, 25, meal3CheckinDinner, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034153.33, 2016-02-09_11-09-13, 49, reactionScaredTouch, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034158.84, 2016-02-09_11-09-18, 49, reactionScaredTouch, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034161.9, 2016-02-09_11-09-21, 49, reactionScaredTouch, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034164.85, 2016-02-09_11-09-24, 49, reactionScaredTouch, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034169.33, 2016-02-09_11-09-29, 25, meal3CheckinDinner, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034180.72, 2016-02-09_11-09-40, 49, reactionScaredTouch, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034187.81, 2016-02-09_11-09-47, 25, meal3CheckinDinner, 6, 11, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
1455034211.25, 2016-02-09_11-10-11, 26, meal3CheckinYesHad, 3, 3, [1.0 1.0 1.0 3.0 2.0 0.0 0.0]
